period_type,period,period_label,n_students,series_id,series_label,series_group,score,mean_difficulty,terms
week,26,Week 26,3,three_leg_adjusted,V/BK/M,vbm,.7922556400299072,9.552790346907996,V+B+M
week,1,Week 1,14,vocab_adjusted,Vocab,vbm,.6597709655761719,3.892857142857143,V
week,2,Week 2,1,vocab_adjusted,Vocab,vbm,.5291770100593567,2.5,V
week,5,Week 5,1,vocab_adjusted,Vocab,vbm,.7588652372360229,4,V
week,6,Week 6,5,vocab_adjusted,Vocab,vbm,.6929275989532471,3.7,V
week,8,Week 8,2,vocab_adjusted,Vocab,vbm,.4335887432098389,2.5,V
week,13,Week 13,1,vocab_adjusted,Vocab,vbm,.3791769742965698,2.5,V
week,14,Week 14,1,vocab_adjusted,Vocab,vbm,.708865225315094,4,V
week,15,Week 15,1,vocab_adjusted,Vocab,vbm,.4119907021522522,5,V
week,18,Week 18,3,vocab_adjusted,Vocab,vbm,.7637253999710083,2,V
week,23,Week 23,6,vocab_adjusted,Vocab,vbm,.7633039951324463,2.5,V
week,24,Week 24,1,vocab_adjusted,Vocab,vbm,.6125103235244751,2.5,V
week,25,Week 25,10,vocab_adjusted,Vocab,vbm,.5541769862174988,2.5,V
week,26,Week 26,3,vocab_adjusted,Vocab,vbm,.5523907542228699,2.833333333333333,V
